Date/Time,"Steam flow 
(t/h)","Export power.
(MW)","Post combustion 
temp. C","Flue gas temp inlet 
bag filter temp. C","IDF Running 
(PV Control.) %","RGF Running 
(PV Control.) %",Sootblow,"PAF Running 
(PV Control.) %",Problem
11/12/2025 16:00 ¹.,44,7.997,1017.6,169,95.2,93.9,0,63.8,0
11/12/2025 17:00 ¹.,44,8.097,1005.6,171.1,95.2,95.1,0,63.2,0
11/12/2025 18:00 ¹.,42,7.586,990.5,167.3,91.3,92,0,63.1,0
11/12/2025 19:00 ¹.,44,7.942,997.8,167.9,90.9,93.6,0,63.1,0
11/12/2025 20:00 ¹.,43,7.849,1005.6,170.3,94.3,93.6,0,62.4,0
11/12/2025 21:00 ¹.,43,8.102,1048.9,177.8,100.2,93.6,0,61.3,0
11/12/2025 22:00 ¹.,38,6.868,933.1,176.2,99.4,94,0,60.3,0
11/12/2025 23:00 ¹.,44,7.929,1017.1,170.1,97,95.3,0,61.4,0
11/12/2025 0:00 ¹.,38,6.497,934.4,165.7,95.1,91.6,0,63,0
12/12/2025 1:00 ¹.,43,7.89,989.6,162.9,94.5,92.3,0,63.1,0
12/12/2025 2:00 ¹.,35,6.004,865.2,161.6,90,90.2,0,61.4,0
12/12/2025 3:00 ¹.,39,6.828,927.8,165.7,91.5,90.2,0,57.9,0
12/12/2025 4:00 ¹.,43,7.8,998.5,165.9,93.1,92.3,0,61.6,0
12/12/2025 5:00 ¹.,42,7.666,1020,167,97.5,90.5,0,62.9,0
12/12/2025 6:00 ¹.,41,7.205,956.1,161.7,93.2,90.3,0,63,0
12/12/2025 7:00 ¹.,43,7.703,976.8,161.7,89.3,90.3,0,63.6,0
12/12/2025 8:00 ¹.,43,8.116,1037.7,164.6,93.5,92.1,0,63.9,0
12/12/2025 9:00 ¹.,39,6.774,924.1,162.4,89.7,90.4,0,63.7,0
12/12/2025 10:00 ¹.,42,7.407,948.6,163.4,90.3,90.5,0,64.4,0
12/12/2025 11:00 ¹.,41,7.384,956.5,165.2,91.6,92.4,0,65.8,0
12/12/2025 12:00 ¹.,40,7.18,942.8,168.1,93,95.2,0,65.8,0
12/12/2025 13:00 ¹.,40,7.076,968.5,167.5,92.1,91.8,0,65.8,0
12/12/2025 14:00 ¹.,40,7.319,1027.9,169.1,95.7,93.1,0,65.5,0
12/12/2025 15:00 ¹.,42,7.392,991.1,165.5,91.9,90.6,0,64.6,0
12/12/2025 16:00 ¹.,39,6.784,946.7,164.4,89.3,90.4,0,62.9,0
12/12/2025 17:00 ¹.,42,7.516,1001.4,166.5,92.6,92.3,0,62.8,0
12/12/2025 18:00 ¹.,44,8.122,1014.9,167.9,91.4,93.5,0,62.7,0
12/12/2025 19:00 ¹.,44,7.993,1017.2,168.1,91.8,92.8,0,62.8,0
12/12/2025 20:00 ¹.,43,7.977,1013.2,168.2,90.4,91.5,0,62.1,0
12/12/2025 21:00 ¹.,43,7.975,1015.1,168,90.9,91.5,0,61.8,0
12/12/2025 22:00 ¹.,43,7.739,1018.8,167.5,90.2,91.7,0,61.7,0
12/12/2025 23:00 ¹.,42,7.441,1007.1,169.9,94.7,92.3,0,62.9,0
12/12/2025 0:00 ¹.,38,6.558,944.9,173.2,100.6,91.5,0,62.8,0
13/12/2025 1:00 ¹.,40,6.997,944.9,164.9,91.6,90.6,0,61.3,0
13/12/2025 2:00 ¹.,43,7.594,987.7,161.7,89.4,90.6,0,61.9,0
13/12/2025 3:00 ¹.,41,7.345,969.4,162.5,90,90.7,0,63,0
13/12/2025 4:00 ¹.,37,6.418,907.5,162.6,90.2,90.6,0,62.4,0
13/12/2025 5:00 ¹.,36,6.306,923,163.5,90,90.7,0,62,0
13/12/2025 6:00 ¹.,39,6.928,970.3,164.7,93.6,90.7,0,63,0
13/12/2025 7:00 ¹.,39,6.944,931.5,160.9,90.4,90.6,0,63.4,0
13/12/2025 8:00 ¹.,42,7.594,973.1,161.2,90.6,90.7,0,64.7,0
13/12/2025 9:00 ¹.,43,7.712,1000.5,162.2,90.2,90.9,0,63.6,0
13/12/2025 10:00 ¹.,42,7.546,1006,164.5,90.9,92.8,0,63.6,0
13/12/2025 11:00 ¹.,41,7.008,955.6,164.2,90.2,91.5,0,64.2,0
13/12/2025 12:00 ¹.,44,7.765,995.1,166.5,92.4,90.6,0,64.9,0
13/12/2025 13:00 ¹.,39,6.757,950.5,167.8,93.9,90.5,0,65.8,0
13/12/2025 14:00 ¹.,35,6.078,937.7,169.3,95.8,90.3,0,65.3,0
13/12/2025 15:00 ¹.,43,7.722,988.8,163.8,91.8,91.1,0,64.1,0
13/12/2025 16:00 ¹.,38,6.619,913.3,164.3,92.3,89,0,65.1,0
13/12/2025 17:00 ¹.,40,7.293,965.1,166,92.2,90.5,0,65.2,0
13/12/2025 18:00 ¹.,42,7.633,1016.9,166.9,93.7,93.1,0,64.8,0
13/12/2025 19:00 ¹.,44,8.109,1052.1,168,92.8,91.6,0,64.4,0
13/12/2025 20:00 ¹.,44,7.956,1031.2,166.2,89.5,90.6,0,63,0
13/12/2025 21:00 ¹.,43,7.909,1040.7,167,91.4,90.6,0,63,0
13/12/2025 22:00 ¹.,42,7.398,990.2,167,91.4,90.6,0,63.8,0
